code,Name
3A1,Fluid Mechanics I
3A3,Fluid Mechanics II
3A5,Thermodynamics and Power Generation
3A6,Heat and Mass Transfer
3B1,Radio Frequency Electronics
3B2,Integrated Digital Electronics
3B3,Switch-Mode Electronics
3B4,Electric Drive Systems
3B5,Semiconductor Engineering
3B6,Photonic Technology
3C1,Materials Processing and Design (Engineering)
3C5,Dynamics
3C6,Vibration
3C7,Mechanics of Solids
3C8,Machine Design
3C9,Fracture Mechanics of Materials and Structures
3D1,Geotechnical Engineering I
3D2,Geotechnical Engineering II
3D3,Structural Materials and Design
3D4,Structural Analysis and Stability
3D5,Water Engineering
3D7,Finite Element Methods
3D8,Building Physics and Environmental Geotechnics
E1,Business Economics
E2,Marketing
E3,Modelling Risk
E6,Organisational Behaviour
E10,Operations Management for Engineers
E11,Environmental Sustainability & Business
3F1,Signals and Systems
3F2,Systems and Control
3F3,Statistical Signal Processing
3F4,Data Transmission
3F7,Information Theory and Coding
3F8,Inference
3G1,Introduction to Molecular Bioengineering
3G2,Mathematical Physiology
3G3,Introduction to Neuroscience
3G4,Medical Imaging and 3-D Computer Graphics
3G5,Biomaterials
3M1,Mathematical Methods
4C4,Design Methods
4M12,Partial Differential Equations and Variational Methods
4M16,Nuclear Power Engineering